_id,identifier,bridgeName,destAmount,destBlockNumber,destBlockTimeStamp,destTokenDecimals,destTokenName,destTokenSymbol,fromChainId,gasUsed,isPartialTx,isSocketTx,recipient,sender,srcAmount,srcBlockNumber,srcBlockTimeStamp,srcTokenDecimals,srcTokenName,srcTokenSymbol,toChainId,srcTxStatus,destTxStatus
65fee4d0e99dac43d6873b69,110-3619915-111,stargate,17250298826491788,117802369,1711203515,18,Ethereum,ETH,42161,500588,False,False,0xbB1C49a817F378503F2E0C85c40DCd2DBb2bA185,0xbb1c49a817f378503f2e0c85c40dcd2dbb2ba185,17260655219623561,193393503,1711203480,18,Ethereum,ETH,10,COMPLETED,COMPLETED
65fee4e5e99dac43d6874b97,0xa5c7d94127f6db55a4d8fced66b8ecd84cd8630990a69f2aa9b4c00c3a18f5be-refuel,refuel-bridge,4914168853389358,33076034,1711203540,18,xDai,xDai,324,116817,False,True,0xce95d27149b663ac2b69323ca93943ff02b99c0d,0xce95d27149b663ac2b69323ca93943ff02b99c0d,1511528254814,29678040,1711203480,18,ETH,ETH,100,COMPLETED,COMPLETED
65fee4c6e99dac43d68731c8,0xcdf85cce36225e093910d862ca1dccae1720f9d599577dce62abd924ddf521b2,hop,6570263722274285,3086381,1711203497,18,Token,TOKEN,42161,378693,False,True,0x2f7c8513b5a94a630fcd9bf5effe62a189e66a61,0x2f7c8513b5a94a630fcd9bf5effe62a189e66a61,7000000000000000,193393502,1711203479,18,Ethereum,ETH,59144,COMPLETED,COMPLETED
65fee4d0e99dac43d6873bb9,111-713998-184,stargate,31101328000000000,12207091,1711203529,18,Token,TOKEN,10,416690,False,False,0xE7cAF215117D2550AB4a3eBF3569B1E157eDFb27,0xe7caf215117d2550ab4a3ebf3569b1e157edfb27,31120000000000000,117802351,1711203479,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4a9e99dac43d68717f4,0x86bb0dd3f33dffa8d8bf30857bb9b4501d35cf19a65350eb7f8e83460e7b1c7f-hyphen,hyphen,10873544342883398831,37222431,1711203486,18,Tether USD,USDT,42161,932334,False,False,0x685faf0aa7680b8c7527b26c7e2992b2c82972ab,0x685faf0aa7680b8c7527b26c7e2992b2c82972ab,11151549,193393497,1711203478,6,Tether USD,USDT,56,COMPLETED,COMPLETED
65fee4a9e99dac43d68718f0,1469332-42161-across,across,349786480223465883,12207072,1711203491,18,Wrapped Ether,WETH,42161,276802,False,False,0x10be3e774b55cd521cb93fa6a4a2e8e7e34c417e,0x10be3e774b55cd521cb93fa6a4a2e8e7e34c417e,350000000000000000,193393495,1711203478,18,Wrapped Ether,WETH,8453,COMPLETED,COMPLETED
65fee4e5e99dac43d6874ba5,0xca1327b06de8ad98467d5a771ca2606e4248456cc87e5f958a55fe8876e40c6f,celer,203271964036966817,117802385,1711203547,18,Wrapped Ether,WETH,42161,596857,False,True,0x91efdd4c280a379d631f0772f1eff8e0a3a6752d,0x91efdd4c280a379d631f0772f1eff8e0a3a6752d,203318898886398756,193393498,1711203478,18,Wrapped Ether,WETH,10,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b5f,110-3619914-111,stargate,288942682920987854,117802369,1711203515,18,Ethereum,ETH,42161,501421,False,False,0x68203d9DE0A2BB0385DAb33C5bcF2FAa0f5C1a25,0x68203d9de0a2bb0385dab33c5bcf2faa0f5c1a25,289116152612555386,193393493,1711203477,18,Ethereum,ETH,10,COMPLETED,COMPLETED
65fee4dbe99dac43d6874424,111-427915-102,stargate,379620000000000000,37222445,1711203528,18,Tether USD,USDT,10,549731,False,False,0xfC4E0baB1710836D46CCfebA3703CaFC22e9d2D4,0xfc4e0bab1710836d46ccfeba3703cafc22e9d2d4,380000,117802350,1711203477,6,USD Coin,USDC,56,COMPLETED,COMPLETED
65fee49fe99dac43d6870fb4,1225555-8453-across,across,999754995,193393501,1711203479,6,USD Coin,USDC,8453,239055,False,False,0x39b8f17efc940d9a618791ce0225ade997ce93ab,0x39b8f17efc940d9a618791ce0225ade997ce93ab,1000162191,12207064,1711203475,6,USD Base Coin,USDbC,42161,COMPLETED,COMPLETED
