id,encoded,event_name,initiator,from_address,to_address,srFee,lpFee,created
0xd652e9c14b6fa073966989ec1ba4e33985ed544c8e1c7e300e0977259ccb9272,0x010000002977c8000000000069e1777600000000970065fc84506868f302caf2,DIRECT-SWAP,0x33928e502f2acaab54441ed47367e7cd370a05a4,0x33928e502f2acaab54441ed47367e7cd370a05a4,0x33928e502f2acaab54441ed47367e7cd370a05a4,0,151,2024-03-21 17:33:57
0x1aa1bb7b52cdab2ccb0ec7cf08be70447e37723f36d747b26f1045b02492976e,0x010000002962c8000000000017c1e83800000000970065fc84506868f302caf2,DIRECT-SWAP,0xefe561efecf137395c848310a604b2b50eb26762,0xefe561efecf137395c848310a604b2b50eb26762,0xefe561efecf137395c848310a604b2b50eb26762,0,151,2024-03-21 17:33:53
0xe06faba0b1f4c64962b8811b1787a53b2e7e055b66e40ed0c7d3112076295053,0x010000002968c80000000000c389650100000000970065fc84506868f302caf2,DIRECT-SWAP,0xc7723d8d51d90e15bceb57e17960a18b6ef52c7e,0xc7723d8d51d90e15bceb57e17960a18b6ef52c7e,0xc7723d8d51d90e15bceb57e17960a18b6ef52c7e,0,151,2024-03-21 17:33:45
0xac9512a99d570530738c9724e6105ca130657318714fd4ad4444d6e07832760a,0x010000018696c800000000001d0c3d3400000000f00065fc84016868f302caf2,DIRECT-SWAP,0xf76ca3fc3fb65eb87f0b187153c9414988ec2deb,0xf76ca3fc3fb65eb87f0b187153c9414988ec2deb,0xf76ca3fc3fb65eb87f0b187153c9414988ec2deb,0,240,2024-03-21 17:33:44
0xfa87258e9d316e2a20671660396602db457d3500fec8b1a52267ce0b618b7194,0x0100000186a0c800000000002139c14900000000f00065fc847c6868f302caf2,DIRECT-SWAP,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0,240,2024-03-21 17:33:40
0x13e6806612b8fbeb74ddc366c4ce48a16d1dc49b7d095056b9a0e5fdb26a52ba,0x010000002973c800000000005fa236e500000000970065fc84506868f302caf2,DIRECT-SWAP,0x5f9c0f9fcf2b8c9bbec17d6b7d3c5e1093379c00,0x5f9c0f9fcf2b8c9bbec17d6b7d3c5e1093379c00,0x5f9c0f9fcf2b8c9bbec17d6b7d3c5e1093379c00,0,151,2024-03-21 17:33:38
0xc142792d2c71aa70dd2e92d45ddc5aeee8642e1920a6143fb38f66855cc5ac52,0x010035a4e900c410ca0a6951fe18ecb900003b82600065fc844e68680102ca21,DIRECT-SWAP,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0,3900000,2024-03-21 17:33:25
0xc142792d2c71aa70dd2e92d45ddc5aeee8642e1920a6143fb38f66855cc5ac52,0x010035a4e900c410ca0a6951fe18ecb900003b82600065fc844e68680102ca21,DIRECT-SWAP,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0x1913cff411001cc3b6fc2f6819709a9ca430de80,0,3900000,2024-03-21 17:33:25
0xafd04d58bb6633a6a3d0a2002ffe6dafe1af67d312e3d58fee835163285692c6,0x0100000186a0c8000000000047b0d26200000000f00065fc846d6868f302caf2,DIRECT-SWAP,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5,0,240,2024-03-21 17:33:25
0xf782a1f6f319a3b77f4fc1ff123132910cd33c8e7655a8267614818180037e05,0x010000002983c80000000000822edbb800000000970065fc84506868f302caf2,DIRECT-SWAP,0xb3858a77e3aedd85dde4e25d273d310d1ca90351,0xb3858a77e3aedd85dde4e25d273d310d1ca90351,0xb3858a77e3aedd85dde4e25d273d310d1ca90351,0,151,2024-03-21 17:33:25
