,defillamaId,name,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,latestFetchIsOk,versionKey,dailyVolume,totalVolume7d,totalVolume30d,parentProtocol
276,3921,Pharaoh Exchange,False,Pharaoh Exchange,pharaoh-exchange,Dexes,https://icons.llamao.fi/icons/protocols/pharaoh-exchange.png,10.77,-36.49,4.54,18.0,138.09,2881590.0,2601472.0,31113469.0,95822887.0,26367117.0,40246872.35460591,0.0,0.0,173513701.0,{'avax': {'pharaoh-exchange': 2881590}},['Avalanche'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pharaoh-exchange,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,2881590.0,4537489.0,2756499.0,
277,2896,PheasantSwap,False,PheasantSwap,pheasantswap,Dexes,https://icons.llamao.fi/icons/protocols/pheasantswap.jpg,,,,,,,,,,,,,,,,['ENULS'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pheasantswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,
278,3170,Phoenix,False,Phoenix,phoenix,Dexes,https://icons.llamao.fi/icons/protocols/phoenix.png,4.22,-37.47,29.99,42.72,70.6,137786499.0,132206179.0,1896188060.0,4373173368.0,1328593904.0,2563478396.2503605,11527285728.817966,886714286.8321515,,{'solana': {'phoenix': 137786499}},['Solana'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/phoenix,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,137786499.0,220359248.0,106001710.0,
279,847,PhotonSwap Finance,True,PhotonSwap Finance,photonswap-finance,Dexes,https://icons.llamao.fi/icons/protocols/photonswap-finance.jpg,,,,,,,,,,,,,,17492379.950520433,,['Cronos'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/photonswap-finance,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,
280,367,PinkSwap,False,PinkSwap,pinkswap,Dexes,https://icons.llamao.fi/icons/protocols/pinkswap.png,-74.68,-38.44,16.18,81.96,48.7,237.0,936.0,3772.0,10155.0,2073.0,6829.403666301001,70997.61456464771,5461.354966511361,11378342.0,{'bsc': {'pinkswap': 237}},['BSC'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pinkswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,237.0,385.0,204.0,
281,3209,Pinnako,False,Pinnako,pinnako,Dexes,https://icons.llamao.fi/icons/protocols/pinnako.jpg,,,,0.0,15.39,0.0,0.0,0.0,729.0,86.0,631.7440941341197,0.0,0.0,150663.0,{'era': {'swap': 0}},['zkSync Era'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/pinnako,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,swap,0.0,0.0,0.0,
282,944,Platypus Finance,True,Platypus Finance,platypus,Dexes,https://icons.llamao.fi/icons/protocols/platypus.png,,,,,,,,,,,,,,,,['Avalanche'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/platypus,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,
283,490,Plenty,False,Plenty,plenty,Dexes,https://icons.llamao.fi/icons/protocols/plenty.png,62.61,230.47,137.11,39.94,-8.21,44967.0,27654.0,442499.0,1152612.0,316211.0,1255770.7945012958,12304562.803104386,946504.8310080294,,{'tezos': {'plenty': 44967}},['Tezos'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/plenty,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,44967.0,13607.0,18965.0,
284,713,Polkaswap,False,Polkaswap,polkaswap,Dexes,https://icons.llamao.fi/icons/protocols/polkaswap.png,,,,,,,,,,,,,,38875850.25,,['Sora'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/polkaswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,,,,
285,499,Polycat,False,Polycat,polycat,Farm,https://icons.llamao.fi/icons/protocols/polycat.png,-34.25,-59.73,244.23,44.42,125.43,22585.0,34348.0,384309.0,1004318.0,266114.0,445509.89039729,6630452.856824282,510034.8351403295,320116636.0,{'polygon': {'polycat': 22585}},['Polygon'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/polycat,{},True,,22585.0,56090.0,6561.0,parent#polycat-finance
286,2657,PonytaSwap,False,PonytaSwap,ponytaswap,Dexes,https://icons.llamao.fi/icons/protocols/ponytaswap.png,-81.46,-40.93,-80.59,-54.32,80.35,17222.0,92870.0,295754.0,1719984.0,647500.0,953672.6050698794,17021288.68646689,1309329.898958991,2982738.0,{'rpg': {'ponytaswap': 17222}},['Rangers'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/ponytaswap,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,17222.0,29156.0,88736.0,
287,3664,Primex Finance,False,Primex Finance,primex-finance,Dexes,https://icons.llamao.fi/icons/protocols/primex-finance.jpg,-27.96,27.13,21.44,6.39,17.49,2453503.0,3405672.0,13844349.0,52086252.0,13013095.0,44333232.3895061,0.0,0.0,,"{'polygon': {'primex-finance': 2453333}, 'arbitrum': {'primex-finance': 170}, 'ethereum': {'primex-finance': 0}}","['Polygon', 'Arbitrum', 'Ethereum']",protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/primex-finance,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,2453503.0,1929907.0,2020373.0,
288,1306,ProtoFi,False,ProtoFi,protofi,Dexes,https://icons.llamao.fi/icons/protocols/protofi.jpg,44.98,-51.2,287.96,65.38,90.25,20170.0,13912.0,236472.0,483751.0,142990.0,254276.60684279562,9420755.590630375,724673.5069715674,670322484.5807376,{'fantom': {'protofi': 20170}},['Fantom'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/protofi,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",True,,20170.0,41331.0,5199.0,
